행정동명,행정동코드,Top1,number of Top1,Top2,number of Top2,Top3,number of Top3
청운효자동,1111051500,한식/백반/한정식,72,커피전문점/카페/다방,45,부동산중개,26
사직동,1111053000,한식/백반/한정식,199,커피전문점/카페/다방,123,정통양식/경양식,44
삼청동,1111054000,커피전문점/카페/다방,88,한식/백반/한정식,48,정통양식/경양식,27
부암동,1111055000,커피전문점/카페/다방,53,한식/백반/한정식,27,정통양식/경양식,22
평창동,1111056000,커피전문점/카페/다방,49,한식/백반/한정식,40,부동산중개,34
무악동,1111057000,커피전문점/카페/다방,9,여성미용실,9,부동산중개,8
교남동,1111058000,부동산중개,16,커피전문점/카페/다방,13,한식/백반/한정식,13
가회동,1111060000,커피전문점/카페/다방,66,한식/백반/한정식,49,라면김밥분식,15
종로1.2.3.4가동,1111061500,종합소매,451,한식/백반/한정식,430,시계/귀금속,370
종로5.6가동,1111063000,종합소매,626,섬유/직물/주단,190,일반의류,128
이화동,1111064000,한식/백반/한정식,72,커피전문점/카페/다방,68,정통양식/경양식,28
혜화동,1111065000,한식/백반/한정식,84,커피전문점/카페/다방,83,부동산중개,38
창신1동,1111067000,종합소매,45,신발소매,41,한식/백반/한정식,34
창신2동,1111068000,한식/백반/한정식,27,일반의류,15,여성미용실,12
창신3동,1111069000,부동산중개,8,여성미용실,8,어린이집,5
숭인1동,1111070000,일반의류,13,부동산중개,12,한식/백반/한정식,11
숭인2동,1111071000,종합소매,71,한식/백반/한정식,32,일반의류,31
소공동,1114052000,한식/백반/한정식,146,커피전문점/카페/다방,126,일반의류,105
회현동,1114054000,일반의류,340,종합소매,182,액세서리판매,151
명동,1114055000,한식/백반/한정식,181,커피전문점/카페/다방,181,편의점,45
필동,1114057000,한식/백반/한정식,87,인쇄종합,78,커피전문점/카페/다방,71
장충동,1114058000,한식/백반/한정식,30,커피전문점/카페/다방,27,화장품판매점,17
광희동,1114059000,종합소매,352,일반의류,228,인쇄종합,166
을지로동,1114060500,인쇄종합,211,한식/백반/한정식,115,종합소매,103
신당동,1114061500,일반의류,852,종합소매,446,여성의류전문점,169
다산동,1114062500,한식/백반/한정식,49,커피전문점/카페/다방,43,일반의류,21
약수동,1114063500,부동산중개,31,한식/백반/한정식,28,여성미용실,27
청구동,1114064500,한식/백반/한정식,22,부동산중개,19,일반의류,14
신당5동,1114065000,한식/백반/한정식,60,호프/맥주,20,커피전문점/카페/다방,16
동화동,1114066500,여성미용실,22,커피전문점/카페/다방,17,부동산중개,16
황학동,1114067000,한식/백반/한정식,59,일반가구소매,25,부동산중개,24
중림동,1114068000,한식/백반/한정식,45,커피전문점/카페/다방,30,꽃집/꽃배달,22
후암동,1117051000,한식/백반/한정식,35,커피전문점/카페/다방,33,부동산중개,32
용산2가동,1117052000,한식/백반/한정식,53,커피전문점/카페/다방,34,정통양식/경양식,30
남영동,1117053000,한식/백반/한정식,89,커피전문점/카페/다방,73,종합소매,29
청파동,1117055500,한식/백반/한정식,72,커피전문점/카페/다방,60,부동산중개,34
원효로1동,1117056000,한식/백반/한정식,64,컴퓨터/주변기기,58,부동산중개,35
원효로2동,1117057000,한식/백반/한정식,31,부동산중개,30,커피전문점/카페/다방,21
효창동,1117058000,부동산중개,16,커피전문점/카페/다방,16,한식/백반/한정식,11
용문동,1117059000,한식/백반/한정식,22,여성미용실,19,커피전문점/카페/다방,17
한강로동,1117062500,한식/백반/한정식,165,컴퓨터/주변기기,150,부동산중개,147
이촌1동,1117063000,부동산중개,63,한식/백반/한정식,39,여성미용실,35
이촌2동,1117064000,부동산중개,14,한식/백반/한정식,14,커피전문점/카페/다방,7
이태원1동,1117065000,일반의류,133,한식/백반/한정식,117,정통양식/경양식,87
이태원2동,1117066000,한식/백반/한정식,70,커피전문점/카페/다방,57,정통양식/경양식,52
한남동,1117068500,한식/백반/한정식,182,커피전문점/카페/다방,122,정통양식/경양식,70
서빙고동,1117069000,한식/백반/한정식,28,부동산중개,19,커피전문점/카페/다방,18
보광동,1117070000,한식/백반/한정식,39,여성미용실,36,부동산중개,34
왕십리2동,1120052000,부동산중개,36,한식/백반/한정식,26,여성미용실,21
왕십리도선동,1120053500,한식/백반/한정식,91,부동산중개,57,여성미용실,39
마장동,1120054000,육류소매,163,정육점,56,한식/백반/한정식,50
사근동,1120055000,커피전문점/카페/다방,62,한식/백반/한정식,51,부동산중개,24
행당1동,1120056000,한식/백반/한정식,61,커피전문점/카페/다방,30,부동산중개,26
행당2동,1120057000,부동산중개,19,세탁소/빨래방,14,여성미용실,14
응봉동,1120058000,여성미용실,13,부동산중개,12,학원-입시,8
금호1가동,1120059000,여성미용실,20,한식/백반/한정식,17,커피전문점/카페/다방,15
금호2.3가동,1120061500,한식/백반/한정식,49,여성미용실,46,부동산중개,24
금호4가동,1120062000,부동산중개,33,여성미용실,25,한식/백반/한정식,24
옥수동,1120064500,부동산중개,42,한식/백반/한정식,38,여성미용실,27
성수1가1동,1120065000,한식/백반/한정식,54,부동산중개,53,커피전문점/카페/다방,48
성수1가2동,1120066000,커피전문점/카페/다방,131,한식/백반/한정식,119,부동산중개,42
성수2가1동,1120067000,한식/백반/한정식,81,커피전문점/카페/다방,64,부동산중개,34
성수2가3동,1120069000,한식/백반/한정식,190,커피전문점/카페/다방,134,부동산중개,60
송정동,1120072000,한식/백반/한정식,21,여성미용실,11,부동산중개,11
용답동,1120079000,자동차정비/카센타,84,한식/백반/한정식,52,중고자동차판매,45
화양동,1121571000,커피전문점/카페/다방,138,한식/백반/한정식,134,호프/맥주,68
군자동,1121573000,한식/백반/한정식,75,커피전문점/카페/다방,61,여성미용실,48
중곡1동,1121574000,한식/백반/한정식,51,부동산중개,44,여성미용실,30
중곡2동,1121575000,여성미용실,61,부동산중개,60,한식/백반/한정식,56
중곡3동,1121576000,한식/백반/한정식,36,여성미용실,32,커피전문점/카페/다방,29
중곡4동,1121577000,커피전문점/카페/다방,43,여성미용실,42,부동산중개,40
능동,1121578000,커피전문점/카페/다방,30,한식/백반/한정식,27,편의점,22
광장동,1121581000,커피전문점/카페/다방,63,부동산중개,54,한식/백반/한정식,54
자양1동,1121582000,한식/백반/한정식,73,여성미용실,48,커피전문점/카페/다방,40
자양2동,1121583000,여성미용실,32,한식/백반/한정식,24,커피전문점/카페/다방,23
자양3동,1121584000,부동산중개,57,커피전문점/카페/다방,56,한식/백반/한정식,51
자양4동,1121584700,한식/백반/한정식,70,커피전문점/카페/다방,64,중국음식/중국집,52
구의1동,1121585000,한식/백반/한정식,74,부동산중개,71,커피전문점/카페/다방,60
구의2동,1121586000,한식/백반/한정식,52,커피전문점/카페/다방,39,여성미용실,38
구의3동,1121587000,부동산중개,62,한식/백반/한정식,62,핸드폰소매,56
용신동,1123053600,한식/백반/한정식,122,부동산중개,72,커피전문점/카페/다방,67
제기동,1123054500,종합소매,211,한식/백반/한정식,186,청과물소매,163
전농1동,1123056000,한식/백반/한정식,107,여성미용실,53,부동산중개,51
전농2동,1123057000,여성미용실,32,커피전문점/카페/다방,26,한식/백반/한정식,21
답십리1동,1123060000,부동산중개,43,한식/백반/한정식,41,커피전문점/카페/다방,32
답십리2동,1123061000,자동차부품판매,98,자동차정비/카센타,70,한식/백반/한정식,41
장안1동,1123065000,한식/백반/한정식,127,자동차정비/카센타,94,부동산중개,69
장안2동,1123066000,한식/백반/한정식,101,커피전문점/카페/다방,67,여성미용실,66
청량리동,1123070500,한식/백반/한정식,71,캐쥬얼/스포츠의류,58,부동산중개,27
회기동,1123071000,한식/백반/한정식,66,커피전문점/카페/다방,45,여성미용실,30
휘경1동,1123072000,한식/백반/한정식,41,여성미용실,19,커피전문점/카페/다방,16
휘경2동,1123073000,부동산중개,31,한식/백반/한정식,28,커피전문점/카페/다방,27
이문1동,1123074000,한식/백반/한정식,46,커피전문점/카페/다방,43,여성미용실,41
이문2동,1123075000,한식/백반/한정식,25,여성미용실,20,부동산중개,18
