행정동코드,Top1 상권,Top1 상권 수,Top1 상권 비율,Top1 상권 Top1 업종,Top1 상권 Top1 업종 수,Top1 상권 Top2 업종,Top1 상권 Top2 업종 수,Top1 상권 Top3 업종,Top1 상권 Top3 업종 수,Top2 상권,Top2 상권 수,Top2 상권 비율,Top2 상권 Top1 업종,Top2 상권 Top1 업종 수,Top2 상권 Top2 업종,Top2 상권 Top2 업종 수,Top2 상권 Top3 업종,Top2 상권 Top3 업종 수,Top3 상권,Top3 상권 수,Top3 상권 비율,Top3 상권 Top1 업종,Top3 상권 Top1 업종 수,Top3 상권 Top2 업종,Top3 상권 Top2 업종 수,Top3 상권 Top3 업종,Top3 상권 Top3 업종 수,Top4 상권,Top4 상권 수,Top4 상권 비율,Top5 상권,Top5 상권 수,Top5 상권 비율
42150571,주거밀집,1125,0.75,한식/백반/한정식,108,여성미용실,72,자동차정비/카센타,44,먹자골목,178,0.11866666666666667,편의점,17,후라이드/양념치킨,16,피자전문,7,스포츠,149,0.09933333333333333,지물판매,23,유리/페인트/철물건축자재,18,룸살롱/단란주점,11,기타,36,0.024,편의시설,12,0.008
42150580,주거밀집,378,0.782608695652174,한식/백반/한정식,55,커피전문점/카페/다방,40,횟집,29,먹자골목,60,0.12422360248447205,커피전문점/카페/다방,15,편의점,14,후라이드/양념치킨,4,스포츠,30,0.062111801242236024,순두부전문,7,건어물상,4,수산물소매,3,기타,13,0.026915113871635612,편의시설,2,0.004140786749482402
42760380,주거밀집,638,0.7577197149643705,한식/백반/한정식,123,스키장비판매,40,캠프/별장/펜션,35,먹자골목,101,0.11995249406175772,편의점,18,후라이드/양념치킨,14,커피전문점/카페/다방,14,스포츠,84,0.0997624703087886,청과물소매,27,룸살롱/단란주점,10,황태전문,8,편의시설,12,0.014251781472684086,기타,7,0.00831353919239905
42150350,주거밀집,211,0.7962264150943397,한식/백반/한정식,31,횟집,18,민박/하숙,18,먹자골목,36,0.13584905660377358,커피전문점/카페/다방,8,일반의류,5,편의점,5,스포츠,15,0.05660377358490566,유리/페인트/철물건축자재,5,청과물소매,2,수산물소매,2,편의시설,2,0.007547169811320755,기타,1,0.0037735849056603774
42130660,주거밀집,1268,0.689505165851006,한식/백반/한정식,120,여성미용실,86,커피전문점/카페/다방,75,먹자골목,406,0.2207721587819467,편의점,34,한식/백반/한정식,32,커피전문점/카페/다방,31,스포츠,117,0.0636215334420881,유리/페인트/철물건축자재,15,학원-기타,12,헬스클럽,10,편의시설,29,0.015769439912996192,기타,19,0.010331702011963024
42230570,주거밀집,350,0.6944444444444444,한식/백반/한정식,47,여성미용실,25,커피전문점/카페/다방,14,먹자골목,101,0.2003968253968254,편의점,12,커피전문점/카페/다방,10,후라이드/양념치킨,6,스포츠,45,0.08928571428571429,룸살롱/단란주점,7,유리/페인트/철물건축자재,4,주방가구판매,3,기타,5,0.00992063492063492,편의시설,3,0.005952380952380952
42130330,주거밀집,857,0.748471615720524,한식/백반/한정식,148,부동산중개,48,커피전문점/카페/다방,45,먹자골목,186,0.16244541484716157,편의점,33,커피전문점/카페/다방,24,후라이드/양념치킨,12,스포츠,82,0.07161572052401746,학원-기타,15,청과물소매,13,유리/페인트/철물건축자재,6,기타,12,0.010480349344978166,편의시설,8,0.0069868995633187774
42770256,주거밀집,502,0.8044871794871795,한식/백반/한정식,93,수퍼마켓,24,커피전문점/카페/다방,23,스포츠,55,0.08814102564102565,청과물소매,21,룸살롱/단란주점,10,건어물상,4,먹자골목,53,0.08493589743589744,편의점,13,후라이드/양념치킨,7,한식/백반/한정식,5,편의시설,10,0.016025641025641024,기타,4,0.00641025641025641
42750250,주거밀집,1237,0.7707165109034267,한식/백반/한정식,185,여성미용실,72,커피전문점/카페/다방,64,스포츠,178,0.11090342679127727,청과물소매,43,래프팅,28,룸살롱/단란주점,16,먹자골목,148,0.09221183800623053,편의점,24,후라이드/양념치킨,16,커피전문점/카페/다방,13,기타,24,0.014953271028037384,편의시설,18,0.011214953271028037
42170600,주거밀집,422,0.7140439932318104,한식/백반/한정식,47,여성미용실,28,자동차정비/카센타,22,먹자골목,83,0.1404399323181049,편의점,19,한식/백반/한정식,5,식료품점,5,스포츠,74,0.12521150592216582,유리/페인트/철물건축자재,12,수산물소매,11,청과물소매,10,편의시설,6,0.01015228426395939,기타,6,0.01015228426395939
42770253,주거밀집,448,0.7684391080617495,한식/백반/한정식,86,모텔/여관/여인숙,29,스키장비판매,27,스포츠,62,0.10634648370497427,청과물소매,22,룸살롱/단란주점,12,유리/페인트/철물건축자재,5,먹자골목,56,0.09605488850771869,편의점,17,후라이드/양념치킨,6,한식/백반/한정식,4,기타,11,0.018867924528301886,편의시설,6,0.010291595197255575
42110610,주거밀집,434,0.781981981981982,여성미용실,45,부동산중개,32,한식/백반/한정식,24,먹자골목,84,0.15135135135135136,후라이드/양념치킨,9,편의점,7,피자전문,5,스포츠,28,0.05045045045045045,청과물소매,5,룸살롱/단란주점,4,유리/페인트/철물건축자재,3,편의시설,5,0.009009009009009009,기타,4,0.007207207207207207
42150645,주거밀집,854,0.7324185248713551,한식/백반/한정식,57,여성미용실,56,자동차정비/카센타,44,먹자골목,179,0.153516295025729,편의점,22,후라이드/양념치킨,16,호프/맥주,11,스포츠,91,0.07804459691252144,유리/페인트/철물건축자재,10,학원-기타,9,실내골프연습장,8,기타,33,0.02830188679245283,편의시설,9,0.007718696397941681
42150540,주거밀집,621,0.735781990521327,한식/백반/한정식,76,모텔/여관/여인숙,34,커피전문점/카페/다방,33,먹자골목,109,0.12914691943127962,한식/백반/한정식,11,편의점,10,커피전문점/카페/다방,8,스포츠,95,0.11255924170616113,룸살롱/단란주점,29,유리/페인트/철물건축자재,13,청과물소매,7,기타,14,0.016587677725118485,편의시설,5,0.005924170616113744
42150340,주거밀집,381,0.8054968287526427,한식/백반/한정식,90,모텔/여관/여인숙,38,횟집,38,스포츠,44,0.09302325581395349,청과물소매,10,수산물소매,7,순두부전문,6,먹자골목,38,0.080338266384778,편의점,13,한식/백반/한정식,4,후라이드/양념치킨,3,편의시설,6,0.012684989429175475,기타,4,0.008456659619450317
42150550,주거밀집,1349,0.7122492080253432,한식/백반/한정식,111,여성미용실,101,부동산중개,91,먹자골목,332,0.17529039070749736,편의점,41,후라이드/양념치킨,27,커피전문점/카페/다방,18,스포츠,145,0.07655755015839494,룸살롱/단란주점,24,학원-기타,19,청과물소매,9,기타,51,0.02692713833157339,편의시설,17,0.00897571277719113
42110660,주거밀집,1500,0.7331378299120235,여성미용실,134,한식/백반/한정식,125,부동산중개,85,먹자골목,339,0.1656891495601173,편의점,35,후라이드/양념치킨,26,한식/백반/한정식,22,스포츠,138,0.06744868035190615,헬스클럽,17,학원-기타,17,태권도장,10,기타,49,0.023949169110459433,편의시설,20,0.009775171065493646
42770250,주거밀집,562,0.7667121418826739,한식/백반/한정식,129,여성미용실,27,커피전문점/카페/다방,24,스포츠,77,0.10504774897680765,청과물소매,27,유리/페인트/철물건축자재,14,룸살롱/단란주점,5,먹자골목,75,0.10231923601637108,편의점,14,후라이드/양념치킨,6,커피전문점/카페/다방,5,편의시설,13,0.017735334242837655,기타,6,0.008185538881309686
42720250,주거밀집,2081,0.7548059484947407,한식/백반/한정식,218,여성미용실,140,커피전문점/카페/다방,72,먹자골목,359,0.1302140007254262,편의점,39,후라이드/양념치킨,24,커피전문점/카페/다방,22,스포츠,250,0.09067827348567284,유리/페인트/철물건축자재,43,청과물소매,33,룸살롱/단란주점,27,기타,38,0.01378309756982227,편의시설,29,0.01051867972433805
42770360,주거밀집,73,0.7934782608695652,한식/백반/한정식,25,민박/하숙,5,캠프/별장/펜션,4,스포츠,13,0.14130434782608695,청과물소매,11,유리/페인트/철물건축자재,1,LPG판매,1,먹자골목,4,0.043478260869565216,건축백화점,1,편의점,1,수퍼마켓,1,편의시설,2,0.021739130434782608,,,
42730330,주거밀집,488,0.7960848287112561,한식/백반/한정식,92,캠프/별장/펜션,30,스키장비판매,28,스포츠,61,0.09951060358890701,청과물소매,28,룸살롱/단란주점,7,농기구판매,4,먹자골목,55,0.08972267536704731,편의점,11,후라이드/양념치킨,9,한식/백반/한정식,6,편의시설,5,0.008156606851549755,기타,4,0.0065252854812398045
42720370,주거밀집,636,0.8195876288659794,한식/백반/한정식,112,캠프/별장/펜션,71,운동/경기용품,47,먹자골목,80,0.10309278350515463,커피전문점/카페/다방,17,편의점,10,후라이드/양념치킨,9,스포츠,46,0.059278350515463915,청과물소매,30,유리/페인트/철물건축자재,3,닭내장/닭발요리,1,기타,11,0.014175257731958763,편의시설,3,0.003865979381443299
